left_hip_roll_angles,left_hip_pitch_angles,left_knee_distances,left_ankle_up_angles,left_ankle_down_angles,right_hip_roll_angles,right_hip_pitch_angles,right_knee_distances,right_ankle_up_angles,right_ankle_up_angles
0,0,0,0.9691201799170822,-1.1668299153182589,0,0,0,0,0
0,0,0,0.9355306941810536,-1.1268898540172443,0,0,0,0,0
0,0,0,0.8817023641391285,-1.0837899005700928,0,0,0,0,0
0,0,0,0.8527188460513271,-1.0406625416503363,0,0,0,0,0
0,0,0,0.9040833227247077,-1.084441929258491,0,0,0,0,0
0,0,0,0.9455253205160127,-1.1498375474285074,0,0,0,0,0
0,0,0,0.9525759369357581,-1.1725723159267654,0,0,0,0,0
0,0,0,0.9348197168167547,-1.149008634355915,0,0,0,0,0
0,0,0,0.9159234452714413,-1.1212967110582177,0,0,0,0,0
0,0,0,0.8955586972181787,-1.091615364168906,0,0,0,0,0
0,0,0,0.875644896208061,-1.0599281953817603,0,0,0,0,0
0,0,0,0.8431904861170189,-0.9967979981733482,0,0,0,0,0
0,0,0,0.8162939069704394,-0.9443939612251147,0,0,0,0,0
0,0,0,0.8007620924308124,-0.9043602614466401,0,0,0,0,0
0,0,0,0.7907585801742549,-0.8699887351829252,0,0,0,0,0
0,0,0,0.7896020695409621,-0.8419696869408358,0,0,0,0,0
0,0,0,0.7962904089236797,-0.8244683171132746,0,0,0,0,0
0,0,0,0.8013262923581925,-0.8147402571713368,0,0,0,0,0
0,0,0,0.8181803330472346,-0.8659288166037348,0,0,0,0,0
0,0,0,0.8375774027168755,-0.92149876168251,0,0,0,0,0
0,0,0,0.8509026105950007,-0.9749634517346318,0,0,0,0,0
0,0,0,0.8647365066056565,-1.0125326232921783,0,0,0,0,0
0,0,0,0.8969569134638778,-1.0392160108132984,0,0,0,0,0
0,0,0,0.9268957902923666,-1.070303314659994,0,0,0,0,0
0,0,0,0.9567134203651944,-1.0909910682776107,0,0,0,0,0
0,0,0,0.9804618868185944,-1.0995100716236705,0,0,0,0,0
0,0,0,0.9957243255200197,-1.1069901407385998,0,0,0,0,0
0,0,0,0.99535483788439,-1.1009452278186023,0,0,0,0,0
0,0,0,0.9888839820928026,-1.0923364531806348,0,0,0,0,0
0,0,0,0.9765379766640495,-1.0763279948351112,0,0,0,0,0
0,0,0,0.9583597286375849,-1.055761274316316,0,0,0,0,0
0,0,0,0.9522837599559593,-1.0489270922562424,0,0,0,0,0
0,0,0,1.0261365699572096,-1.1325683252522258,0,0,0,0,0
0,0,0,1.1111640907783735,-1.2359864557976932,0,0,0,0,0
0,0,0,1.1864497943628174,-1.3442633141493294,0,0,0,0,0
0,0,0,1.2505574896599052,nan,0,0,0,0,0
0,0,0,1.2958628954497973,nan,0,0,0,0,0
0,0,0,1.3071725340600693,nan,0,0,0,0,0
0,0,0,1.3093415493910858,nan,0,0,0,0,0
0,0,0,1.3216167346965468,nan,0,0,0,0,0
0,0,0,1.3554699096256388,nan,0,0,0,0,0
0,0,0,1.3999241805085056,nan,0,0,0,0,0
0,0,0,1.4359325406782484,nan,0,0,0,0,0
0,0,0,1.4325977116900144,nan,0,0,0,0,0
0,0,0,1.3868143827611825,nan,0,0,0,0,0
0,0,0,1.3582167863999106,nan,0,0,0,0,0
0,0,0,1.311859468064486,nan,0,0,0,0,0
0,0,0,1.2557161354570778,nan,0,0,0,0,0
0,0,0,1.204110701326442,-1.376266017816394,0,0,0,0,0
0,0,0,1.1547382010595508,-1.2953329648481864,0,0,0,0,0
0,0,0,1.1199060002000203,-1.247501640273906,0,0,0,0,0
0,0,0,1.0862776413805486,-1.204621821727387,0,0,0,0,0
0,0,0,1.0457770561408444,-1.1555646643186654,0,0,0,0,0
