Duration_Microseconds
16473
15989
16937
16020
15991
15973
18944
19055
17929
17024
15982
15980
16043
17929
17011
15977
15990
15981
19008
16009
19957
15945
16016
17014
16947
15960
20000
17029
19930
17011
16017
15978
17968
15955
16032
15958
15969
15966
16003
15988
18002
15965
15958
16996
17066
16951
15938
16011
15979
16019
15955
16022
15953
15991
16025
19948
17014
15976
15976
16007
15941
18004
17996
16951
19044
17952
17944
19003
15994
15997
16061
15931
16990
15982
16051
16917
21014
16033
15919
16039
17983
15927
15997
16023
15984
15984
16023
16963
17979
15978
16024
15959
16975
16990
16000
16004
15981
15988
17050
15961
17999
16955
15971
18001
17001
18001
15989
15998
17988
15911
16006
16909
15998
17165
15852
15972
16995
16930
16052
15928
16123
15894
15941
15998
17033
15952
16038
16964
15980
15983
16987
16957
20000
16920
17045
18919
17020
16001
15961
17046
17075
15876
15991
16939
15997
17026
16994
15968
17948
15995
17019
15983
15990
15956
16966
15982
15998
15983
18992
16109
17908
16945
15992
17108
15884
17023
15955
16995
15987
15986
16004
16038
15960
16009
15958
15969
16009
15994
18001
16015
15974
16020
15963
17003
15985
15935
16022
15972
15982
17980
19026
15980
19961
17008
17032
18993
16952
15984
16157
15833
16031
16963
18967
17976
17961
16985
17030
16904
19008
16008
15953
15966
17023
15966
15996
16003
17013
15974
15973
17061
15921
15987
16116
15830
15967
16008
15986
16039
15872
17022
15988
15973
15973
16066
15896
16989
15982
16039
15973
17909
15973
16009
16965
16021
15918
16021
17973
15979
15971
18027
15948
16000
16007
16959
15993
15994
15995
19024
16965
15970
15997
15983
16026
16996
17962
17009
16042
19919
19016
16899
16023
19008
17966
17031
16024
19941
16937
16959
16082
17893
19021
16970
19003
17934
15985
16074
15929
16036
16012
16027
15906
15965
15990
15950
16046
15954
16035
15951
17016
15972
15993
15979
16003
15978
15974
16173
17832
15982
16012
15983
16035
17033
16887
16001
15964
17020
18969
17044
15964
15983
15956
16134
15891
16041
15878
16268
19748
19021
16936
16000
16944
17027
17943
19052
16094
16817
18970
17030
20420
16518
16995
19164
16777
16973
15962
17025
15990
16017
15950
15997
16068
15870
16024
18517
17401
16010
15968
15919
16081
16027
15866
16014
15947
16002
16018
16969
16007
15989
18979
15988
15994
16006
17988
16037
15954
16009
16002
16002
15985
15967
16015
18025
16049
15894
16891
16019
16012
15974
15976
16010
18929
16008
17985
15980
18011
17021
17956
16999
16973
15985
17016
15981
17966
16001
16081
17912
15982
15935
16020
15981
17993
15975
16043
16000
15945
20087
15990
15990
16889
16003
15946
16128
15862
18046
18952
15939
18048
15929
16003
15958
16000
15985
18074
15933
15967
15965
16000
17992
15957
16038
15955
20011
17970
15977
16024
15983
16018
19976
17905
15985
16056
15950
15967
16060
16072
15868
15976
17971
16016
17004
18941
15992
17015
18015
15947
16985
16970
16011
20050
17963
19973
17023
15943
18978
15995
15998
15918
16039
16057
17877
16027
15963
16960
16009
16011
15929
16006
15996
15955
16011
15953
16011
16001
15990
15993
17025
18108
16809
15992
15997
17010
17979
16969
16936
17021
17955
17014
15962
15982
19049
15975
15970
16008
15979
16013
19027
